rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,which,response,response_type,environment
84596.69999998808,249,50,female,English,AmE,graduated college,""":""The study is interesting""}",subway,ai,neg-know,know,higher,FIRST,0.58,CC,negation
84596.69999998808,249,50,female,English,AmE,graduated college,""":""The study is interesting""}",subway,ai,neg-know,know,higher,SECOND,0.6,BEL,negation
98670,386,79,male,English,AmE,graduated college,""":""Does it matter whether the bicycles are electric?""}",bike,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
98670,386,79,male,English,AmE,graduated college,""":""Does it matter whether the bicycles are electric?""}",bike,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
99530.19999998808,377,37,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,FIRST,0.010000000000000009,notPOST,negation
99530.19999998808,377,37,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
33437,370,51,male,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,lower,FIRST,0.18,CC,question
33437,370,51,male,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,lower,SECOND,0,BEL,question
38785.29999995232,315,62,male,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,lower,FIRST,0.2,CC,question
38785.29999995232,315,62,male,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,lower,SECOND,0.1,BEL,question
37343.89999997616,87,52,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
37343.89999997616,87,52,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
39051.39999999851,444,34,male,English,AmE,graduated high school,""":""""}",subway,ai,neg-stop,stop,higher,FIRST,0.67,PRE,negation
39051.39999999851,444,34,male,English,AmE,graduated high school,""":""""}",subway,ai,neg-stop,stop,higher,SECOND,0.58,notPOST,negation
118717.30000001192,459,73,female,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,FIRST,0.53,BEL,question
118717.30000001192,459,73,female,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,SECOND,1,CC,question
188707,353,62,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,FIRST,0.81,CC,negation
188707,353,62,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,SECOND,0.47,BEL,negation
52743.09999996424,104,36,female,English,AmE,graduated college,""":""It's an interesting study but I'll admit that seeing a chart where the last two names had nothing to do with what we were asked threw me off a little bit. (Only because I then assumed I'd also be asked about their opinions, etc.)""}",subway,nai,q-know,know,higher,FIRST,0.88,BEL,question
52743.09999996424,104,36,female,English,AmE,graduated college,""":""It's an interesting study but I'll admit that seeing a chart where the last two names had nothing to do with what we were asked threw me off a little bit. (Only because I then assumed I'd also be asked about their opinions, etc.)""}",subway,nai,q-know,know,higher,SECOND,1,CC,question
45114.09999999986,199,52,male,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,FIRST,0.17,PRE,question
45114.09999999986,199,52,male,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,SECOND,0.13,notPOST,question
49070.59999990463,428,27,male,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,FIRST,1,notPOST,question
49070.59999990463,428,27,male,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,SECOND,0.12,PRE,question
37277.29999995232,404,27,male,English,AmE,graduated college,""":""The design was reliant on contextual inference rather than explicit data.""}",bike,ai,q-stop,stop,lower,FIRST,0,PRE,question
37277.29999995232,404,27,male,English,AmE,graduated college,""":""The design was reliant on contextual inference rather than explicit data.""}",bike,ai,q-stop,stop,lower,SECOND,0,notPOST,question
49738.20000000298,484,28,male,English,AmE,graduated high school,""":""""}",bike,ai,q-know,know,lower,FIRST,0.3,CC,question
49738.20000000298,484,28,male,English,AmE,graduated high school,""":""""}",bike,ai,q-know,know,lower,SECOND,0.18,BEL,question
76875.69999998808,483,65,female,English,AmE,graduated high school,""":""no""}",subway,ai,neg-know,know,higher,FIRST,0.58,CC,negation
76875.69999998808,483,65,female,English,AmE,graduated high school,""":""no""}",subway,ai,neg-know,know,higher,SECOND,1,BEL,negation
46986.5,455,54,female,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,FIRST,0.49,PRE,question
46986.5,455,54,female,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,SECOND,0.51,notPOST,question
39175.19999998808,517,34,female,English,AmE,some college,""":""thank you""}",petshelter,ai,neg-stop,stop,higher,FIRST,0.89,PRE,negation
39175.19999998808,517,34,female,English,AmE,some college,""":""thank you""}",petshelter,ai,neg-stop,stop,higher,SECOND,0.97,notPOST,negation
62011.699999809265,125,51,male,English,AmE,graduated college,"""}",subway,nai,q-know,know,higher,FIRST,0.84,BEL,question
62011.699999809265,125,51,male,English,AmE,graduated college,"""}",subway,nai,q-know,know,higher,SECOND,0.89,CC,question
46332,493,52,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,FIRST,0.83,CC,question
46332,493,52,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,SECOND,1,BEL,question
73096,229,36,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,lower,FIRST,0.48,PRE,question
73096,229,36,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,lower,SECOND,0.36,notPOST,question
40546.10000002384,449,19,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,FIRST,0.52,CC,negation
40546.10000002384,449,19,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,SECOND,0.55,BEL,negation
61241.19999998808,130,68,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,FIRST,0.83,PRE,question
61241.19999998808,130,68,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,SECOND,0.85,notPOST,question
83334.89999961853,375,42,female,English,AmE,some college,""":""""}",bike,nai,q-know,know,higher,FIRST,0.49,BEL,question
83334.89999961853,375,42,female,English,AmE,some college,""":""""}",bike,nai,q-know,know,higher,SECOND,1,CC,question
49618,118,68,female,English,AmE,graduated high school,""":""I believe my answer was correct because Charley is an environmental activist.""}",subway,ai,q-know,know,higher,FIRST,0.09,CC,question
49618,118,68,female,English,AmE,graduated high school,""":""I believe my answer was correct because Charley is an environmental activist.""}",subway,ai,q-know,know,higher,SECOND,0.12,BEL,question
45003.20000000298,61,51,preferNoToSay,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,FIRST,0.020000000000000018,notPOST,question
45003.20000000298,61,51,preferNoToSay,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,SECOND,1,PRE,question
51410,258,39,female,English,AmE,hold a higher degree,""":""""}",petshelter,nai,neg-know,know,higher,FIRST,0.16,BEL,negation
51410,258,39,female,English,AmE,hold a higher degree,""":""""}",petshelter,nai,neg-know,know,higher,SECOND,0.92,CC,negation
53609.40000000014,502,55,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
53609.40000000014,502,55,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
134982.20000004768,423,32,male,English,AmE,hold a higher degree,""":""""}",petshelter,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
134982.20000004768,423,32,male,English,AmE,hold a higher degree,""":""""}",petshelter,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
138605.40000009537,246,46,female,English,AmE,hold a higher degree,""":""Everything was good.""}",bike,ai,neg-know,know,lower,FIRST,0,CC,negation
138605.40000009537,246,46,female,English,AmE,hold a higher degree,""":""Everything was good.""}",bike,ai,neg-know,know,lower,SECOND,0,BEL,negation
96451.39999997616,53,41,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,lower,FIRST,0.53,BEL,question
96451.39999997616,53,41,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,lower,SECOND,1,CC,question
66385,337,37,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,FIRST,1,CC,question
66385,337,37,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,SECOND,0.38,BEL,question
77858.19999998808,224,45,male,English,AmE,graduated college,""":""Thank you for an interesting study!""}",petshelter,ai,neg-stop,stop,higher,FIRST,0.95,PRE,negation
77858.19999998808,224,45,male,English,AmE,graduated college,""":""Thank you for an interesting study!""}",petshelter,ai,neg-stop,stop,higher,SECOND,0.88,notPOST,negation
37018.900000572205,262,44,male,English,AmE,hold a higher degree,""":""""}",subway,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
37018.900000572205,262,44,male,English,AmE,hold a higher degree,""":""""}",subway,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
119914,190,56,male,English,AmE,hold a higher degree,""":""None""}",subway,nai,neg-know,know,higher,FIRST,0.8,BEL,negation
119914,190,56,male,English,AmE,hold a higher degree,""":""None""}",subway,nai,neg-know,know,higher,SECOND,0.72,CC,negation
84882.5,577,20,female,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,FIRST,0.71,BEL,question
84882.5,577,20,female,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,SECOND,0.92,CC,question
55175,299,56,female,English,AmE,hold a higher degree,""":""NA""}",subway,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
55175,299,56,female,English,AmE,hold a higher degree,""":""NA""}",subway,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
74189.19999998808,170,59,female,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,FIRST,0.77,notPOST,question
74189.19999998808,170,59,female,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,SECOND,0.2,PRE,question
59795.199999809265,208,28,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,FIRST,0.55,BEL,question
59795.199999809265,208,28,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,SECOND,0.51,CC,question
58918.5,357,40,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,FIRST,1,CC,negation
58918.5,357,40,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,SECOND,0.25,BEL,negation
63307.59999996424,177,46,female,English,AmE,some college,""":""No comment.""}",subway,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
63307.59999996424,177,46,female,English,AmE,some college,""":""No comment.""}",subway,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
63898.5,150,59,male,English,AmE,graduated college,""":""It seems unreasonable that anyone would bike 20 miles to and from work, especially if it includes city traffic, potential for accidents, and is a professional job (IT). He'd arrive sweaty and tired, and then have to work all day in an office. It just seems unreasonable. ""}",bike,nai,q-stop,stop,lower,FIRST,1,notPOST,question
63898.5,150,59,male,English,AmE,graduated college,""":""It seems unreasonable that anyone would bike 20 miles to and from work, especially if it includes city traffic, potential for accidents, and is a professional job (IT). He'd arrive sweaty and tired, and then have to work all day in an office. It just seems unreasonable. ""}",bike,nai,q-stop,stop,lower,SECOND,0,PRE,question
105147.40000000596,433,49,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,FIRST,0.74,CC,negation
105147.40000000596,433,49,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,SECOND,0.49,BEL,negation
77526.69999998808,294,70,female,English,AmE,graduated college,""":""Thank you.  All in your study went well.""}",subway,ai,q-stop,stop,lower,FIRST,1,PRE,question
77526.69999998808,294,70,female,English,AmE,graduated college,""":""Thank you.  All in your study went well.""}",subway,ai,q-stop,stop,lower,SECOND,0.27,notPOST,question
79814.40000009537,143,50,female,English,AmE,hold a higher degree,""":""na""}",subway,ai,q-stop,stop,lower,FIRST,0,PRE,question
79814.40000009537,143,50,female,English,AmE,hold a higher degree,""":""na""}",subway,ai,q-stop,stop,lower,SECOND,0,notPOST,question
48753.60000002384,183,30,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,higher,FIRST,0.95,PRE,negation
48753.60000002384,183,30,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,higher,SECOND,0.95,notPOST,negation
55505.59999996424,75,47,male,English,AmE,graduated college,""":""nope""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
55505.59999996424,75,47,male,English,AmE,graduated college,""":""nope""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
67369,67,40,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,FIRST,0.51,BEL,question
67369,67,40,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,SECOND,0.65,CC,question
98115.89999997616,393,59,male,English,AmE,some college,""":""This was an interesting study. Thank you for the opportunity.""}",bike,nai,neg-know,know,lower,FIRST,1,BEL,negation
98115.89999997616,393,59,male,English,AmE,some college,""":""This was an interesting study. Thank you for the opportunity.""}",bike,nai,neg-know,know,lower,SECOND,1,CC,negation
60090.30000001192,230,60,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
60090.30000001192,230,60,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
60941,411,52,female,English,AmE,some college,""":""nothing to comment on. very straightforward.  I don't know what this experiment proves though.""}",subway,nai,neg-know,know,lower,FIRST,0.32,BEL,negation
60941,411,52,female,English,AmE,some college,""":""nothing to comment on. very straightforward.  I don't know what this experiment proves though.""}",subway,nai,neg-know,know,lower,SECOND,1,CC,negation
65229.89999997616,46,75,female,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,FIRST,0.41,CC,negation
65229.89999997616,46,75,female,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,SECOND,0.38,BEL,negation
39730.80000001192,339,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,FIRST,1,BEL,question
39730.80000001192,339,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,SECOND,1,CC,question
64638.5,144,68,female,English,AmE,graduated college,""":""Thank you for allowing me to participate!!""}",bike,nai,neg-stop,stop,higher,FIRST,0.040000000000000036,notPOST,negation
64638.5,144,68,female,English,AmE,graduated college,""":""Thank you for allowing me to participate!!""}",bike,nai,neg-stop,stop,higher,SECOND,0.96,PRE,negation
137560.40000000596,391,42,female,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,FIRST,0.11,BEL,negation
